name; bin; os_family; url
graalvm; bin; linux; https://download.oracle.com/graalvm/23/latest/graalvm-jdk-23_linux-x64_bin.tar.gz
cosmocc; bin; linux; https://cosmo.zip/pub/cosmocc/cosmocc.zip
